platform,platform_id,name,country,rating,students,sessions,youtube_url,is_pro,prospect_score,profile_url,headline
"italki","5305179","Alex","LV","5","269","2754","https://www.youtube.com/watch?v=tWXvysGf6LQ","true","90","https://www.italki.com/en/teacher/5305179","Your next favourite teacher | Ваш новый любимый учитель | きっと好きになる先生"
"italki","7925149","Hoang Gam - Emma 老师","VN","5","133","1421","https://www.youtube.com/watch?v=CLH0uMyqSaE","true","90","https://www.italki.com/en/teacher/7925149","🔥Certified Vietnamese teacher over 8 years + > 50 students pass B1 exam🔥说中文"
"italki","6160661","Miriam García Medina","ES","5","149","1353","https://www.youtube.com/watch?v=6S9UZZvivFI","true","90","https://www.italki.com/en/teacher/6160661","Certified Spanish Teacher 👩‍🏫 ELE Teaching Certificate 📃 DELE Exam Preparation 🗣️📖"
"italki","6651669","Ms.Nitz","IN","5","575","10358","https://www.youtube.com/watch?v=R8WPIsvQORc","false","90","https://www.italki.com/en/teacher/6651669","""Passionate language teacher dedicated to help students achieve their language goals effortlessly"""
"italki","889879","Dayana Ruiz Bogotá","CO","5","244","2893","https://www.youtube.com/watch?v=uWLx-rjSlAQ","true","90","https://www.italki.com/en/teacher/889879",""
"italki","3510838","Gülnare Türkavcı","TR","5","244","3326","https://www.youtube.com/watch?v=a0W2lgSKUqs","true","90","https://www.italki.com/en/teacher/3510838","Turkish, Russian ana Azerbaijani lessons wıth BA degreed Phililogyst!"
"italki","24680424","Haris","RS","5","222","1269","https://www.youtube.com/watch?v=gJA7uRjWyZc","true","90","https://www.italki.com/en/teacher/24680424","Licensed teacher | 10+ yrs German/Serbian/Bosnian | Works in a school and at a university"
"italki","570744","Aura　オーラ","US","4.9","982","5397","https://www.youtube.com/watch?v=8U4U7fdEU78","false","90","https://www.italki.com/en/teacher/570744","Safe Space For Speaking Practice 😊 Reading Practice 📖 Other Activities 📽🖼️🔍📄"
"italki","1579850","Safy","EG","5","312","3056","https://www.youtube.com/watch?v=udQNVkiV1rU","true","90","https://www.italki.com/en/teacher/1579850",""
"italki","12569399","Keisuke","JP","5","345","3274","https://www.youtube.com/watch?v=JmYqmHM62tk","true","90","https://www.italki.com/en/teacher/12569399","Let's talk a lot of Japanese that you know in a relaxing class!"
"italki","5382995","Sindy","DE","5","1795","9765","https://www.youtube.com/watch?v=kH-z3D2OTM4","false","90","https://www.italki.com/en/teacher/5382995","Learn German in a relaxed environment (for absolute beginners up to business German)"
"italki","8510753","Ian","FR","5","518","6018","https://www.youtube.com/watch?v=IM1fLEuAZ-8","false","90","https://www.italki.com/en/teacher/8510753","Un prof sympa / Sept ans d'expérience / Des élèves de tous les âges et de tous les niveaux"
"italki","9633051","Matteo Dabellonio","IT","5","230","1881","https://www.youtube.com/watch?v=W3sEtfeMn7Q","true","90","https://www.italki.com/en/teacher/9633051","Professore di Italiano Certificato da 6 anni |Preparazione Esami (CELI, CILS, PLIDA, DALI, CLIDA)"
"italki","2675990","⭐ Max ⭐","DE","5","287","1730","https://www.youtube.com/watch?v=IxNfCLz_Iy0","true","90","https://www.italki.com/en/teacher/2675990","Certified Native German Tutor | Exam Prep, Business, Conversation | 18+ Years Experience"
"italki","10652463","Laurence","GB","4.9","1103","7049","https://www.youtube.com/watch?v=AQlwFLwqThk","false","90","https://www.italki.com/en/teacher/10652463","Over 7000 lessons! 24 years teaching experience. A kind, funny, patient, native English speaker."
"italki","7189439","Ivana Hoxha","AL","5","134","3842","https://www.youtube.com/watch?v=B-EjNrhUiI0","true","90","https://www.italki.com/en/teacher/7189439",""
"italki","7846731","Mohamed Wilkinson","GB","4.9","1573","8597","https://www.youtube.com/watch?v=OR8bO0ZdZUQ","false","90","https://www.italki.com/en/teacher/7846731",""
"italki","7072536","Cristina","IT","5","623","6562","https://www.youtube.com/watch?v=x2cdgQ8tru4","false","90","https://www.italki.com/en/teacher/7072536","Let’s talk like we’re having a coffee at an Italian bar ☕️"
"italki","7270673","Guy","GB","5","462","4548","https://www.youtube.com/watch?v=nUJ-gne94y8","true","90","https://www.italki.com/en/teacher/7270673","Experienced and passionate English teacher who is ready to help you succeed ✏️"
"italki","13060915","Kiara","PE","5","457","3391","https://www.youtube.com/watch?v=Hy2ACkorEwc","true","90","https://www.italki.com/en/teacher/13060915","College Professor and Professional Debater. Certified to Teach Languages."
